DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,*ForTrain*
3271.727539,0.566678,2999.226807,2970.17041,-416.472534,2.37149,776.126953,776.126953,NO,NO,0.277369,
3306.806885,0.839118,2754.860596,2740.385254,-282.03894,-4.447914,249.57074,249.57074,NO,NO,0.281891,
3749.865234,0.698793,3351.47876,3333.664551,-345.095337,2.423523,784.453125,784.453125,NO,NO,0.156262,
3952.601807,0.693374,3494.90332,3481.788574,-302.486816,-23.927048,281.884583,281.884583,NO,NO,0.117924,
3092.500977,0.744566,2132.275879,2118.093018,-245.523621,11.161285,551.916382,551.916382,NO,YES,0.523946,
3279.480469,0.607635,2817.4021,2789.907471,-392.646484,-1.357513,877.086426,877.086426,NO,NO,0.292569,
2652.723389,0.938815,2068.708984,2052.105957,-261.567932,13.997437,681.243958,681.243958,NO,YES,0.929319,
3388.818604,0.495593,2714.999023,2678.946777,-440.980896,2.134262,450.052673,450.052673,YES,NO,0.26888,
2682.448242,0.548807,1618.05603,1582.565308,-337.034424,3.962036,557.242676,557.242676,YES,YES,0.934045,
2620.903564,0.645151,2508.220459,2487.264648,323.54834,-21.369255,-110.047386,110.047386,YES,YES,0.940677,
4265.636719,0.062558,3982.367188,3964.874512,-372.852966,-5.895617,453.408142,453.408142,NO,NO,0.065328
4241.319336,0.054851,3851.897949,3834.489258,-365.799561,-2.965218,93.154030,93.154030,NO,NO,0.072083
4112.990723,-0.065261,3679.101074,3661.967773,354.649963,-17.156773,-64.504509,64.504509,NO,NO,0.057691
4201.094238,0.080790,3881.924316,3868.897217,-317.762970,10.293251,673.438538,673.438538,NO,NO,0.072687
4281.269531,0.066646,3937.238281,3921.506836,-351.611115,-37.122601,32.755337,32.755337,NO,NO,0.064815
4345.032227,0.071218,4088.663818,4071.935547,-369.475372,-10.952026,50.318295,50.318295,NO,NO,0.055282
2861.392578,0.126096,2675.712158,2650.900391,-363.543182,15.003426,234.037933,234.037933,NO,YES,0.677119,
2823.638916,-0.057148,2662.857666,2636.213379,375.751831,-5.242604,-222.605759,222.605759,NO,YES,0.817249,
2754.723877,-0.122638,2545.794189,2522.710205,342.054138,29.323483,-680.794312,680.794312,NO,YES,0.880437,
2842.205566,0.100609,2005.866943,1984.188354,-294.105316,15.47547,386.575104,386.575104,NO,YES,0.815007,
2881.289062,0.130787,2013.20813,1992.850586,-285.575714,30.146866,629.100403,629.100403,NO,YES,0.778109,
2906.719727,-0.155921,2609.897705,2589.562256,325.165741,13.686501,-617.077881,617.077881,NO,YES,0.73017,
3172.425293,0.124916,2334.238525,2311.403564,-325.706299,-30.888069,128.371231,128.371231,NO,NO,0.410035,
3351.519287,0.133229,3213.337158,3189.434326,-391.206573,1.937244,306.443146,306.443146,NO,NO,0.23036,
2852.938721,-0.214537,2378.592529,2341.451172,418.699493,-7.710358,-532.891907,532.891907,YES,YES,0.835223,
2880.58252,0.134312,2688.60083,2662.039551,-376.988342,3.75388,264.547516,264.547516,YES,YES,0.650444,
2876.359863,0.09199,2760.353271,2717.674072,-483.527161,23.504601,901.907837,901.907837,YES,YES,0.630391,
3038.367676,0.041007,1112.961548,234.925919,1087.884766,-12.234974,-846.778931,846.778931,YES,YES,0.895376,
2897.635742,-0.732806,2327.525635,2290.099365,415.716797,3.176941,-239.069626,239.069626,YES,YES,0.800585,
3974.236084,-0.600148,3554.260498,3534.914307,370.333374,7.69043,-798.581055,798.581055,NO,NO,0.070396,
3025.445312,-0.87457,2346.601318,2327.171631,301.348022,8.743805,-560.151733,560.151733,NO,YES,0.620089,
3279.737305,-0.955509,2446.561768,2434.267334,244.960205,0.304489,-283.90741,283.90741,NO,NO,0.313773,
3372.888184,-0.583976,2492.924316,2479.519775,258.173828,4.580536,-624.834229,624.834229,NO,NO,0.253189,
3276.316895,-0.623645,2802.90625,2784.682861,319.099609,14.224586,-221.69165,221.69165,NO,NO,0.245186,
3537.297363,-0.43174,3278.084473,3256.093262,379.068359,6.135712,-767.509583,767.509583,NO,NO,0.115458,
3209.939453,-0.470349,2847.268311,2814.165283,432.911011,8.043152,-805.173401,805.173401,NO,NO,0.278312,
2480.758545,-0.599636,2316.723633,2297.97998,-294.103516,24.512222,540.564087,540.564087,YES,YES,0.961686,
2635.373291,-0.634198,1906.934448,1887.340088,-272.665649,-14.357788,175.065765,175.065765,YES,YES,0.942925,
2097.955566,-1.054438,2002.296143,1987.099487,-246.222473,-10.247293,58.821014,58.821014,YES,YES,0.993194,